# Time-averaged data for fix myat1
# TimeStep v_kenergy v_penergy v_pressure v_tempera v_dense v_entha
2360 9.88169 -258.034 -2049.82 307.02 0.896305 -261.775
2370 10.0203 -258.159 -2139.03 311.327 0.896305 -262.355
2380 10.6463 -258.427 -2184.92 330.777 0.896305 -262.301
2390 10.6485 -258.737 -2316.32 330.846 0.896305 -263.483
2400 10.723 -258.888 -2391.08 333.158 0.896305 -264.056
2410 11.2028 -258.73 -2263.56 348.067 0.896305 -262.571
2420 10.6936 -258.378 -2149.55 332.245 0.896305 -261.971
2430 10.3166 -258.029 -2040.8 320.532 0.896305 -261.275
2440 10.0658 -257.68 -1895.49 312.74 0.896305 -260.211
2450 9.76099 -257.458 -1771.63 303.27 0.896305 -259.471
2460 10.347 -257.578 -1678.55 321.477 0.896305 -258.387
2470 10.5833 -257.97 -1781.32 328.82 0.896305 -259.225
2480 10.9697 -258.182 -1817.62 340.825 0.896305 -259.292
2490 11.199 -257.949 -1744.15 347.95 0.896305 -258.342
2500 11.2414 -257.576 -1664.09 349.267 0.896305 -257.394
2510 10.9176 -257.226 -1642.49 339.207 0.896305 -257.225
2520 10.5238 -256.87 -1551.43 326.972 0.896305 -256.657
2530 10.5488 -256.89 -1610 327.747 0.896305 -257.041
2540 11.1116 -257.301 -1720.34 345.234 0.896305 -257.622
2550 11.6411 -257.701 -1847.88 361.686 0.896305 -258.341
2560 12.1823 -257.881 -1870.89 378.498 0.896305 -258.132
2570 11.6638 -257.797 -1937.49 362.39 0.896305 -259.01
2580 10.9178 -257.499 -1946.94 339.21 0.896305 -259.521
2590 10.4698 -257.244 -1966.06 325.291 0.896305 -259.841
2600 9.94111 -257.22 -2022.04 308.866 0.896305 -260.717
2610 10.1304 -257.542 -2098.32 314.747 0.896305 -261.357
2620 10.4526 -258.117 -2219.59 324.759 0.896305 -262.415
2630 11.0184 -258.516 -2257.12 342.338 0.896305 -262.498
2640 11.3092 -258.478 -2137.18 351.373 0.896305 -261.373
2650 10.7936 -258.212 -2025.65 335.355 0.896305 -260.88
2660 10.6239 -258.001 -1965.92 330.08 0.896305 -260.443
2670 9.90161 -257.883 -2011.14 307.639 0.896305 -261.347
2680 10.145 -257.995 -2052.96 315.2 0.896305 -261.494
2690 10.5794 -258.163 -2104.84 328.697 0.896305 -261.572
2700 10.7855 -258.152 -2092.96 335.101 0.896305 -261.276
2710 10.6048 -258.003 -2070.87 329.488 0.896305 -261.161
2720 10.1376 -257.835 -2064.51 314.972 0.896305 -261.418
2730 9.9921 -257.706 -2029.4 310.451 0.896305 -261.201
2740 9.69107 -257.718 -2041.58 301.098 0.896305 -261.595
2750 9.67204 -257.824 -2107.37 300.507 0.896305 -262.157
2760 9.96352 -257.891 -2125.09 309.563 0.896305 -262.051
